Name,Lenght,Peregib,Leaf_and_Root,line_kust,line_kust_value,max_kust,width_rectangle,height_rectangle,bio_mass,Path
IMG_8371,862.5462479183388,0,6,3.0,5.0,9,427,814,24583,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_11 Wheat/1102/IMG_8371.JPG
IMG_8366,826.7350647362953,0,5,2.0,3.5,6,185,789,20665,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_11 Wheat/1102/IMG_8366.JPG
IMG_8361,876.3818177180226,0,13,2.0,3.0,8,307,787,24734,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_11 Wheat/1102/IMG_8361.JPG
IMG_8354,866.5361466505738,1,6,2.0,4.5,9,535,749,24956,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_11 Wheat/1102/IMG_8354.JPG
IMG_8358,887.0315292925775,0,5,2.0,3.0,5,202,829,23388,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_11 Wheat/1102/IMG_8358.JPG
IMG_8373,876.6812408671325,0,4,2.0,2.5,4,194,860,20094,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_11 Wheat/1102/IMG_8373.JPG
IMG_8375,947.7350647362953,1,8,3.0,3.5,7,311,917,29706,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_11 Wheat/1102/IMG_8375.JPG
IMG_8379,847.6934341759527,0,10,2.0,4.0,16,297,823,27837,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_11 Wheat/1102/IMG_8379.JPG
IMG_8368,761.1665222413712,0,5,2.0,3.5,6,318,746,22441,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_11 Wheat/1102/IMG_8368.JPG
IMG_8392,1805.3170260293218,5,23,7.0,14.5,32,991,1278,132696,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/L-25/IMG_8392.JPG
IMG_8382,2218.8489885977788,15,36,8.0,18.0,45,1008,1457,169228,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/L-25/IMG_8382.JPG
IMG_8394,2829.0348468228417,15,43,10.0,18.5,50,1672,1720,285048,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/L-25/IMG_8394.JPG
IMG_8385,2098.1168824543115,11,39,7.0,15.0,30,1070,1639,184287,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/L-25/IMG_8385.JPG
IMG_8406,2072.2266222336953,14,23,5.0,16.0,48,827,1385,117445,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/L-25/IMG_8406.JPG
IMG_8388,1989.3595231414374,12,30,9.0,19.0,67,1123,1670,193042,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/L-25/IMG_8388.JPG
IMG_8409,2014.4356415871853,8,39,9.0,16.5,47,1351,1814,231568,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/L-25/IMG_8409.JPG
IMG_8403,2179.6265504461912,9,41,7.0,18.0,52,846,1762,189668,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/L-25/IMG_8403.JPG
IMG_8404,1755.165655689598,5,16,4.0,13.0,51,612,1275,83365,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/L-25/IMG_8404.JPG
IMG_8398,1416.7888886054582,2,8,3.0,10.0,32,479,1362,52668,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/L-25/IMG_8398.JPG
IMG_8391,1957.4204896855376,11,40,8.0,17.0,40,894,1704,193629,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/L-25/IMG_8391.JPG
IMG_8383,2234.599205235719,13,31,6.0,16.5,39,740,1722,169528,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/L-25/IMG_8383.JPG
IMG_8396,1342.8132752230983,6,14,2.0,12.5,32,513,1268,57553,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/L-25/IMG_8396.JPG
IMG_8389,1915.0996385116152,7,15,5.0,14.0,35,686,1651,142370,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/L-25/IMG_8389.JPG
IMG_8381,2247.7463914933314,13,37,6.0,20.5,62,1077,1798,168401,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/L-25/IMG_8381.JPG
IMG_8401,2217.148411746877,11,24,4.0,15.5,35,922,1812,132510,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/L-25/IMG_8401.JPG
IMG_8397,1724.4701294725903,8,23,3.0,13.5,39,699,1623,84362,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/L-25/IMG_8397.JPG
IMG_8390,2018.0702012600925,13,40,8.0,16.0,35,847,1673,202737,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/L-25/IMG_8390.JPG
IMG_8386,2473.5992052357037,16,28,6.0,17.0,37,573,1661,154117,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/L-25/IMG_8386.JPG
IMG_8400,1960.2194795587613,5,16,5.0,12.5,26,670,1677,121651,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/L-25/IMG_8400.JPG
IMG_8407,2538.0033175303015,10,23,7.0,14.5,68,876,1654,179376,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/L-25/IMG_8407.JPG
IMG_8395,2000.5483399593938,13,33,6.0,18.0,43,977,1824,183987,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/L-25/IMG_8395.JPG
IMG_8405,1781.9108216936586,6,19,6.0,15.0,39,665,1396,108034,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/L-25/IMG_8405.JPG
IMG_8384,2305.2703448350735,8,25,7.0,17.0,56,931,1653,179403,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/L-25/IMG_8384.JPG
IMG_8393,2555.822509939065,11,42,7.0,23.0,63,1260,2001,246856,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/L-25/IMG_8393.JPG
IMG_8402,1411.7737367038105,8,21,3.0,15.0,31,615,1194,61877,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/L-25/IMG_8402.JPG
IMG_8408,2284.4032457428066,8,45,7.0,20.5,52,1152,1730,194305,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/L-25/IMG_8408.JPG
IMG_8387,2174.040764008563,10,24,4.0,17.5,82,713,1685,130108,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/L-25/IMG_8387.JPG
IMG_8399,1878.2661607529867,10,23,6.0,17.0,38,922,1700,149190,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/L-25/IMG_8399.JPG
IMG_8380,1962.4621202458804,9,29,6.0,16.0,52,1013,1438,140731,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/L-25/IMG_8380.JPG
IMG_8435,1368.8132752230983,1,15,4.0,12.5,37,377,1307,109878,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/1102/IMG_8435.JPG
IMG_8422,1381.5462479183388,1,13,5.0,10.5,26,586,1347,115321,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/1102/IMG_8422.JPG
IMG_8438,1531.9797974644696,2,14,4.0,8.5,21,496,1424,114041,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/1102/IMG_8438.JPG
IMG_8414,1330.7838379715756,2,10,4.0,8.0,23,473,1221,90735,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/1102/IMG_8414.JPG
IMG_8426,1749.469262920818,1,15,5.0,10.0,35,830,1261,193036,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/1102/IMG_8426.JPG
IMG_8427,1384.440692221068,2,24,3.0,10.5,34,309,1166,62538,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/1102/IMG_8427.JPG
IMG_8440,1359.3056992722745,1,14,4.0,9.0,26,355,1223,100991,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/1102/IMG_8440.JPG
IMG_8439,1306.8010819142783,0,9,3.0,5.5,16,345,1255,90024,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/1102/IMG_8439.JPG
IMG_8423,1524.2224381515884,4,16,6.0,10.0,23,692,1396,117383,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/1102/IMG_8423.JPG
IMG_8430,1275.1980515339487,1,15,5.0,11.0,33,575,1197,95816,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/1102/IMG_8430.JPG
IMG_8434,1309.4579361637707,0,12,3.0,8.5,29,499,1301,80754,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/1102/IMG_8434.JPG
IMG_8415,1340.3696244092025,0,13,3.0,7.5,17,415,1200,92481,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/1102/IMG_8415.JPG
IMG_8424,1344.5189027078711,0,17,5.0,13.0,32,468,1203,101964,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/1102/IMG_8424.JPG
IMG_8411,1429.7422074112328,1,17,4.0,9.5,22,331,1359,101270,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/1102/IMG_8411.JPG
IMG_8436,1468.2396820942913,3,16,3.0,10.0,34,385,1360,102366,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/1102/IMG_8436.JPG
IMG_8413,1320.6711395993673,1,15,5.0,10.5,40,538,1257,113224,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/1102/IMG_8413.JPG
IMG_8425,1345.0437226013973,1,15,4.0,10.0,32,383,1306,97640,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/1102/IMG_8425.JPG
IMG_8421,1401.9970414071724,1,15,4.0,9.0,20,437,1313,107880,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/1102/IMG_8421.JPG
IMG_8417,1423.180807591246,2,20,5.0,10.0,36,952,1326,188189,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/1102/IMG_8417.JPG
IMG_8420,1359.156420973606,0,6,4.0,9.5,24,476,1279,94414,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/1102/IMG_8420.JPG
IMG_8419,1334.2396820942915,0,11,3.0,7.0,19,375,1242,73834,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/1102/IMG_8419.JPG
IMG_8431,1618.8540392316684,2,18,6.0,14.0,69,1140,1183,244002,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/1102/IMG_8431.JPG
IMG_8428,2212.8174593051867,2,13,4.0,13.0,47,676,1318,117910,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/1102/IMG_8428.JPG
IMG_8432,1282.0559159102177,1,18,5.0,9.0,23,471,1195,95194,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/1102/IMG_8432.JPG
IMG_8412,1485.5117600329336,0,9,4.0,7.0,16,479,1398,96025,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/1102/IMG_8412.JPG
IMG_8410,1236.612265096322,0,25,4.0,11.5,28,373,1151,91898,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/1102/IMG_8410.JPG
IMG_8433,1423.2640687119317,0,11,4.0,8.0,16,455,1295,95792,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/1102/IMG_8433.JPG
IMG_8416,1440.6538956566649,0,15,3.0,8.0,30,367,1357,83049,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/1102/IMG_8416.JPG
IMG_8437,1402.8082245892158,0,13,2.0,9.0,27,285,1267,68899,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/1102/IMG_8437.JPG
IMG_8418,1374.5239533417537,2,23,5.0,8.5,27,436,1310,111679,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_24 Wheat/1102/IMG_8418.JPG
