Name,Lenght,Peregib,Leaf_and_Root,line_kust,line_kust_value,max_kust,width_rectangle,height_rectangle,bio_mass,Path
454-71,101.39696961966992,0,15,2.0,5.0,13,200,102,1727,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-71.jpg
452-10,681.3645737753199,1,15,4.0,6.5,12,471,497,21723,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/452-10.jpg
451-19-4,279.16652224137044,2,9,2.0,7.0,18,137,251,6979,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/451-19-4.jpg
454-80-3,610.5950211536191,3,28,6.0,14.5,45,421,428,26646,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-80-3.jpg
446-5-4,300.42135623731025,2,20,4.5,8.5,21,222,263,8591,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/446-5-4.jpg
991-12-3,550.7300141024126,2,17,4.0,7.5,19,259,388,13714,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/991-12-3.jpg
454-86-2,350.16652224137084,1,16,5.0,8.5,19,184,284,9512,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-86-2.jpg
446-5-2,294.2619766708763,2,78,5.0,9.0,64,332,249,9374,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/446-5-2.jpg
446-6-4,159.79898987322338,0,8,2.0,3.5,11,191,163,2188,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/446-6-4.jpg
451-19,383.3380951166246,0,22,2.0,8.0,16,204,254,7929,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/451-19.jpg
451-18-4,230.8061325481603,0,41,2.0,3.0,39,217,200,3758,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/451-18-4.jpg
454-72,226.0954544295052,0,39,1.0,9.0,22,287,408,7594,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-72.jpg
446-6,220.1959594928934,1,18,3.0,7.5,21,227,158,3623,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/446-6.jpg
453-8-1,1031.7737367038103,2,31,3.0,8.5,18,681,639,26989,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/453-8-1.jpg
454-80,624.5239533417536,1,34,5.0,13.0,39,379,411,24163,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-80.jpg
454-72-1,512.269119345814,2,21,2.0,6.5,26,304,411,9550,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-72-1.jpg
446-4-3,566.9360748630718,1,21,2.0,5.0,15,377,542,12009,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/446-4-3.jpg
454-83-4,543.5218613006987,3,15,4.0,10.0,28,367,505,24540,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-83-4.jpg
991-11-3,392.6223663640866,1,46,2.0,10.5,30,273,354,13445,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/991-11-3.jpg
454-75-3,261.74011537017776,0,29,2.0,6.0,20,218,268,4684,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-75-3.jpg
451-17-3,661.2447327281739,5,33,6.0,13.0,29,284,515,43102,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/451-17-3.jpg
454-73-3,294.4213562373101,1,7,3.0,6.0,15,197,166,3529,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-73-3.jpg
446-6-3,201.8111831820431,1,3,2.0,6.0,19,133,162,2305,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/446-6-3.jpg
451-16-1,512.6639969244293,0,22,4.0,5.5,21,467,499,19972,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/451-16-1.jpg
452-10-2,644.0386719675147,4,64,4.0,10.0,40,452,524,24865,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/452-10-2.jpg
991-13-1,860.7178207935923,4,39,6.0,18.0,41,580,792,51439,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/991-13-1.jpg
451-15-1,633.5584412271587,2,40,4.0,10.5,32,507,567,21399,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/451-15-1.jpg
454-78-4,518.0609665440998,1,20,7.0,10.5,26,332,381,21834,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-78-4.jpg
452-10-1,714.1046891454976,1,25,4.0,9.0,27,491,494,23174,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/452-10-1.jpg
451-17-4,666.7249634685298,2,34,8.0,11.5,25,362,520,44729,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/451-17-4.jpg
446-5,166.11269837220806,1,14,3.0,7.5,16,541,257,6333,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/446-5.jpg
454-74-2,260.4629867976527,2,55,7.0,12.5,52,374,193,11769,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-74-2.jpg
454-75-4,263.5391052434013,0,18,1.0,5.0,25,227,264,4848,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-75-4.jpg
454-71-4,117.92388155425105,0,6,1.0,2.5,4,156,102,1397,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-71-4.jpg
451-19-2,312.0243866176397,3,22,2.0,7.0,17,231,256,7820,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/451-19-2.jpg
454-83,617.8132752230979,2,39,4.0,9.5,20,419,525,26342,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-83.jpg
454-70-4,448.0954544295056,1,40,2.0,11.5,35,451,404,10175,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-70-4.jpg
454-85-1,190.89444430272866,0,57,1.0,5.0,34,580,175,2654,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-85-1.jpg
452-10-4,550.9726547895316,3,42,4.0,10.5,32,552,472,24291,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/452-10-4.jpg
454-85-4,171.82337649086293,0,3,1.0,3.0,6,225,149,2137,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-85-4.jpg
454-87-1,202.63961030678948,1,20,1.0,4.0,17,142,200,2568,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-87-1.jpg
454-69-4,200.2253967444163,0,8,2.0,3.0,5,125,209,3135,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-69-4.jpg
453-8,1037.0163773909296,2,21,3.0,9.0,21,684,640,27626,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/453-8.jpg
446-5-1,472.03152929257743,2,15,5.0,9.5,62,547,257,10100,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/446-5-1.jpg
454-86-3,313.3919189857873,4,18,5.0,8.5,18,323,287,9646,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-86-3.jpg
454-70-1,431.5462479183387,0,21,2.0,8.5,17,363,415,9381,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-70-1.jpg
451-16-3,505.291413922399,1,10,4.0,5.0,9,255,462,19674,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/451-16-3.jpg
454-87-3,201.43860018001283,0,22,1.0,5.0,21,188,204,2546,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-87-3.jpg
991-12-4,442.77669529663797,1,47,3.0,8.0,30,228,391,12055,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/991-12-4.jpg
454-84-2,608.5634918610415,4,14,3.0,11.5,97,590,570,25821,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-84-2.jpg
991-13-2,858.4335495461305,3,23,5.0,14.5,50,601,826,48005,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/991-13-2.jpg
454-74-3,212.82337649086296,2,42,7.0,9.5,31,254,193,10574,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-74-3.jpg
991-11-1,372.16652224137096,2,34,2.0,11.0,25,467,371,12794,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/991-11-1.jpg
454-72-2,575.4873734152932,1,29,2.0,10.0,28,399,436,11159,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-72-2.jpg
453-8-2,1131.974746830587,1,24,3.0,10.5,35,549,669,25772,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/453-8-2.jpg
451-19-1,251.98275605729697,1,25,2.0,8.0,20,244,259,8913,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/451-19-1.jpg
